Driver instructions:

Strategy instructions:

Power 1:

Power 2:

Power 3:

Rpm 1:
154, rpm, 348, 12:21:08.109
155, rpm, 338, 12:21:10.665
156, rpm, 342, 12:21:20.132
157, rpm, 327, 12:21:22.549
158, rpm, 320, 12:21:24.794
159, rpm, 352, 12:21:28.592
160, rpm, 384, 12:21:30.422
161, rpm, 348, 12:21:34.123
162, rpm, 333, 12:21:35.561
163, rpm, 319, 12:21:36.971
164, rpm, 306, 12:21:39.724
165, rpm, 315, 12:21:38.343
166, rpm, 306, 12:21:41.134
167, rpm, 294, 12:21:42.689
168, rpm, 287, 12:21:44.072
169, rpm, 275, 12:21:45.452
170, rpm, 265, 12:21:46.830
171, rpm, 246, 12:21:49.579
172, rpm, 220, 12:21:52.340
173, rpm, 206, 12:21:53.758
174, rpm, 189, 12:21:55.341
175, rpm, 177, 12:21:56.807
176, rpm, 156, 12:21:58.841
177, rpm, 135, 12:22:01.132
178, rpm, 140, 12:22:03.293
179, rpm, 157, 12:22:04.879
180, rpm, 227, 12:22:06.527
181, rpm, 270, 12:22:08.150
182, rpm, 357, 12:22:11.129
183, rpm, 375, 12:22:18.931
184, rpm, 387, 12:22:20.313
185, rpm, 384, 12:22:21.669
186, rpm, 392, 12:22:23.046
187, rpm, 400, 12:22:27.528
188, rpm, 422, 12:22:31.096
189, rpm, 408, 12:22:39.955
190, rpm, 389, 12:22:43.085
191, rpm, 379, 12:22:45.690
192, rpm, 375, 12:22:47.105
193, rpm, 370, 12:22:48.543
194, rpm, 361, 12:22:49.972
195, rpm, 355, 12:22:51.945
196, rpm, 338, 12:22:53.433
197, rpm, 314, 12:22:57.432
198, rpm, 306, 12:22:58.982
199, rpm, 300, 12:23:00.501
200, rpm, 288, 12:23:02.020
201, rpm, 284, 12:23:03.535
202, rpm, 276, 12:23:05.095
203, rpm, 271, 12:23:06.549
204, rpm, 248, 12:23:08.959
205, rpm, 235, 12:23:10.444
206, rpm, 218, 12:23:12.300
207, rpm, 206, 12:23:13.692
208, rpm, 201, 12:23:15.268
209, rpm, 184, 12:23:16.716
210, rpm, 169, 12:23:18.367
211, rpm, 160, 12:23:19.836
212, rpm, 159, 12:23:21.335
213, rpm, 160, 12:23:22.802
214, rpm, 160, 12:23:24.250
215, rpm, 160, 12:23:25.755
216, rpm, 151, 12:23:27.199
217, rpm, 136, 12:23:28.635
218, rpm, 122, 12:23:30.076
219, rpm, 148, 12:23:31.505
220, rpm, 156, 12:23:32.939
221, rpm, 207, 12:23:34.432
222, rpm, 346, 12:23:38.962
223, rpm, 363, 12:23:40.743
224, rpm, 372, 12:23:42.631
225, rpm, 368, 12:23:44.139
226, rpm, 361, 12:23:45.807
227, rpm, 361, 12:23:47.746
228, rpm, 361, 12:23:50.137
229, rpm, 357, 12:23:51.657
230, rpm, 350, 12:23:53.741
231, rpm, 342, 12:23:55.720
232, rpm, 337, 12:23:57.119
233, rpm, 331, 12:23:58.527
234, rpm, 329, 12:23:59.926
235, rpm, 327, 12:24:01.322
236, rpm, 320, 12:24:02.723
237, rpm, 312, 12:24:04.136
238, rpm, 310, 12:24:05.718
239, rpm, 297, 12:24:09.616
240, rpm, 295, 12:24:11.022
241, rpm, 292, 12:24:12.423
242, rpm, 287, 12:24:13.814
243, rpm, 281, 12:24:16.014
244, rpm, 276, 12:24:17.387
245, rpm, 273, 12:24:18.772
246, rpm, 270, 12:24:20.137
247, rpm, 267, 12:24:21.743
248, rpm, 267, 12:24:23.154
249, rpm, 260, 12:24:25.345
250, rpm, 256, 12:24:27.381
251, rpm, 254, 12:24:28.853
252, rpm, 244, 12:24:30.265
253, rpm, 229, 12:24:31.669
254, rpm, 202, 12:24:33.315
255, rpm, 200, 12:24:35.779
256, rpm, 245, 12:24:37.991
257, rpm, 252, 12:24:39.437
258, rpm, 260, 12:24:41.537
259, rpm, 251, 12:24:42.911
260, rpm, 252, 12:24:44.281
261, rpm, 273, 12:24:45.683
262, rpm, 294, 12:24:47.041
263, rpm, 310, 12:24:48.380
264, rpm, 317, 12:24:49.704
265, rpm, 338, 12:24:52.347
266, rpm, 340, 12:24:56.312
267, rpm, 338, 12:24:58.050
268, rpm, 352, 12:25:00.398
269, rpm, 348, 12:25:03.246
270, rpm, 340, 12:25:05.230
271, rpm, 295, 12:25:14.634
272, rpm, 259, 12:25:16.183
273, rpm, 254, 12:25:17.535
274, rpm, 247, 12:25:18.889
275, rpm, 243, 12:25:20.222
276, rpm, 240, 12:25:21.554
277, rpm, 234, 12:25:22.897
278, rpm, 224, 12:25:24.245
279, rpm, 218, 12:25:25.743
280, rpm, 207, 12:25:27.182
281, rpm, 198, 12:25:28.516
282, rpm, 194, 12:25:29.860
283, rpm, 233, 12:25:31.220
284, rpm, 246, 12:25:32.562
285, rpm, 240, 12:25:34.179
286, rpm, 229, 12:25:35.590
287, rpm, 206, 12:25:37.357
288, rpm, 191, 12:25:38.917
289, rpm, 176, 12:25:40.591
290, rpm, 159, 12:25:42.104
291, rpm, 147, 12:25:43.446
292, rpm, 117, 12:25:47.136
293, rpm, 145, 12:25:48.777
294, rpm, 168, 12:25:50.108
295, rpm, 186, 12:25:51.801
296, rpm, 253, 12:25:54.581
297, rpm, 314, 12:25:56.649
298, rpm, 338, 12:25:58.812
299, rpm, 357, 12:26:11.420
300, rpm, 368, 12:26:13.500
301, rpm, 375, 12:26:15.401
302, rpm, 384, 12:26:17.511
